SSSCC,SAMPNO,diff,salinity_flag,Comments
00701,4,,3,Auto-flagged by processing function (had * in row)
01701,17,,3,Auto-flagged by processing function (had * in row)
02701,6,,3,Auto-flagged by processing function (had * in row)
03901,14,,3,Auto-flagged by processing function (had * in row)
04501,32,,3,Auto-flagged by processing function (had * in row)
04801,28,,3,Auto-flagged by processing function (had * in row)
04801,8,,3,Auto-flagged by processing function (had * in row)
04801,10,,3,Auto-flagged by processing function (had * in row)
08401,29,,3,Auto-flagged by processing function (had * in row)
08501,15,,3,Auto-flagged by processing function (had * in row)
08501,26,,3,Auto-flagged by processing function (had * in row)
08901,13,,3,Auto-flagged by processing function (had * in row)
11501,27,,3,Auto-flagged by processing function (had * in row)
04601,32,,3,Auto-flagged by processing function (had * in row)
04901,8,,3,Auto-flagged by processing function (had * in row)
04901,10,,3,Auto-flagged by processing function (had * in row)
04701,36,-1.8479,3,Manually flagged by operators
04701,35,-1.8068,3,Manually flagged by operators
04701,34,-1.7666,3,Manually flagged by operators
04701,33,-1.7256,3,Manually flagged by operators
04701,32,-1.6937,3,Manually flagged by operators
04701,31,-1.6373,3,Manually flagged by operators
04701,30,-1.584,3,Manually flagged by operators
04701,29,-1.573,3,Manually flagged by operators
04701,28,-1.5321,3,Manually flagged by operators
04701,27,-1.4862,3,Manually flagged by operators
04701,26,-1.1125,3,Manually flagged by operators
04701,25,-1.0615,3,Manually flagged by operators
04701,24,-1.0281,3,Manually flagged by operators
04701,23,-0.9928,3,Manually flagged by operators
04701,22,-0.9479,3,Manually flagged by operators
04701,21,-0.9095,3,Manually flagged by operators
04701,20,-0.8689,3,Manually flagged by operators
04701,19,-0.8286,3,Manually flagged by operators
04701,18,-0.7825,3,Manually flagged by operators
04701,17,-0.7434,3,Manually flagged by operators
04701,16,-0.6993,3,Manually flagged by operators
04701,15,-0.6585,3,Manually flagged by operators
04701,14,-0.6159,3,Manually flagged by operators
04701,13,-0.5748,3,Manually flagged by operators
04701,12,-0.5323,3,Manually flagged by operators
04701,11,-0.4898,3,Manually flagged by operators
04701,10,-0.4501,3,Manually flagged by operators
04701,9,-0.4104,3,Manually flagged by operators
04701,8,-0.3714,3,Manually flagged by operators
04701,7,-0.328,3,Manually flagged by operators
04701,6,-0.2854,3,Manually flagged by operators
04701,5,-0.2446,3,Manually flagged by operators
04701,4,-0.2024,3,Manually flagged by operators
04701,3,-0.1626,3,Manually flagged by operators
04701,2,-0.1198,3,Manually flagged by operators
04701,1,-0.074,3,Manually flagged by operators
08301,36,0.0015,3,Manually flagged by operators
08301,35,-0.0014,3,Manually flagged by operators
08301,34,0.0037,3,Manually flagged by operators
08301,33,-0.0219,3,Manually flagged by operators
08301,32,0.0094,3,Manually flagged by operators
08301,31,-0.002,3,Manually flagged by operators
08301,30,0.0116,3,Manually flagged by operators
08301,29,0.0031,3,Manually flagged by operators
08301,28,0.0021,3,Manually flagged by operators
08301,27,0.0029,3,Manually flagged by operators
08301,26,0.0034,3,Manually flagged by operators
08301,25,0.0028,3,Manually flagged by operators
08301,24,0.002,3,Manually flagged by operators
08301,23,0.0022,3,Manually flagged by operators
08301,22,0.0024,3,Manually flagged by operators
08301,21,0.0027,3,Manually flagged by operators
08301,20,0.0027,3,Manually flagged by operators
08301,19,0.0027,3,Manually flagged by operators
08301,18,0.0028,3,Manually flagged by operators
08301,17,0.0023,3,Manually flagged by operators
08301,16,0.0027,3,Manually flagged by operators
08301,15,0.0028,3,Manually flagged by operators
08301,14,0.0029,3,Manually flagged by operators
08301,13,0.0025,3,Manually flagged by operators
08301,12,0.0026,3,Manually flagged by operators
08301,11,0.0025,3,Manually flagged by operators
08301,10,0.0022,3,Manually flagged by operators
08301,9,0.0042,3,Manually flagged by operators
08301,8,0.0021,3,Manually flagged by operators
08301,7,0.0025,3,Manually flagged by operators
08301,6,0.002,3,Manually flagged by operators
08301,5,0.0008,3,Manually flagged by operators
08301,4,0.0025,3,Manually flagged by operators
08301,3,0.0015,3,Manually flagged by operators
08301,2,0.0013,3,Manually flagged by operators
08301,1,0.0017,3,Manually flagged by operators
08601,36,0.0024,3,Manually flagged by operators
08601,35,-0.0008,3,Manually flagged by operators
08601,34,0.0079,3,Manually flagged by operators
08601,33,-0.0021,3,Manually flagged by operators
08601,32,0.1978,3,Manually flagged by operators
08601,31,-0.0003,3,Manually flagged by operators
08601,30,0.0022,3,Manually flagged by operators
08601,29,-0.0006,3,Manually flagged by operators
08601,28,-0.0001,3,Manually flagged by operators
08601,27,0.0002,3,Manually flagged by operators
08601,26,-0.0003,3,Manually flagged by operators
08601,25,0.0,3,Manually flagged by operators
08601,24,0.0007,3,Manually flagged by operators
08601,23,0.0004,3,Manually flagged by operators
08601,22,0.0004,3,Manually flagged by operators
08601,21,0.0003,3,Manually flagged by operators
08601,20,0.0009,3,Manually flagged by operators
08601,19,0.0012,3,Manually flagged by operators
08601,18,0.0006,3,Manually flagged by operators
08601,17,0.0003,3,Manually flagged by operators
08601,16,0.0004,3,Manually flagged by operators
08601,15,0.0007,3,Manually flagged by operators
08601,14,0.0007,3,Manually flagged by operators
08601,13,0.0006,3,Manually flagged by operators
08601,12,-0.0008,3,Manually flagged by operators
08601,11,0.0004,3,Manually flagged by operators
08601,10,-0.0015,3,Manually flagged by operators
08601,9,0.0003,3,Manually flagged by operators
08601,8,-0.0006,3,Manually flagged by operators
08601,7,-0.0002,3,Manually flagged by operators
08601,6,-0.0003,3,Manually flagged by operators
08601,5,-0.0018,3,Manually flagged by operators
08601,4,-0.0016,3,Manually flagged by operators
08601,3,-0.0006,3,Manually flagged by operators
08601,2,-0.0004,3,Manually flagged by operators
08601,1,-0.0,3,Manually flagged by operators
09301,36,-17.5202,4,Manually flagged by operators
09301,35,-17.5201,4,Manually flagged by operators
09301,34,-17.5341,4,Manually flagged by operators
09301,33,-17.5725,4,Manually flagged by operators
09301,32,-17.7304,4,Manually flagged by operators
09301,31,-18.0189,4,Manually flagged by operators
09301,30,-18.2172,4,Manually flagged by operators
09301,29,-18.2952,4,Manually flagged by operators
09301,28,-18.3367,4,Manually flagged by operators
09301,27,-18.381,4,Manually flagged by operators
09301,26,-18.4124,4,Manually flagged by operators
09301,25,-18.425,4,Manually flagged by operators
09301,24,-18.4358,4,Manually flagged by operators
09301,23,-18.4529,4,Manually flagged by operators
09301,22,-18.4683,4,Manually flagged by operators
09301,21,-18.4762,4,Manually flagged by operators
09301,20,-18.4812,4,Manually flagged by operators
09301,19,-18.4835,4,Manually flagged by operators
09301,18,-18.4843,4,Manually flagged by operators
09301,17,-18.4829,4,Manually flagged by operators
09301,16,-18.4817,4,Manually flagged by operators
09301,15,-18.4799,4,Manually flagged by operators
09301,14,-18.4775,4,Manually flagged by operators
09301,13,-18.4751,4,Manually flagged by operators
09301,12,-18.4719,4,Manually flagged by operators
09301,11,-18.4681,4,Manually flagged by operators
09301,10,-18.4642,4,Manually flagged by operators
09301,9,-18.4599,4,Manually flagged by operators
09301,8,-18.4567,4,Manually flagged by operators
09301,7,-18.4539,4,Manually flagged by operators
09301,6,-18.4518,4,Manually flagged by operators
09301,5,-18.4508,4,Manually flagged by operators
09301,4,-18.4504,4,Manually flagged by operators
09301,3,-18.4491,4,Manually flagged by operators
09301,2,-18.4491,4,Manually flagged by operators
09301,1,-18.4477,4,Manually flagged by operators
09601,36,-0.0077,3,Manually flagged by operators
09601,35,-0.0089,3,Manually flagged by operators
09601,34,-0.0064,3,Manually flagged by operators
09601,33,-0.0084,3,Manually flagged by operators
09601,32,0.0061,3,Manually flagged by operators
09601,31,0.0086,3,Manually flagged by operators
09601,30,-0.0082,3,Manually flagged by operators
09601,29,-0.0053,3,Manually flagged by operators
09601,28,-0.0036,3,Manually flagged by operators
09601,27,-0.0046,3,Manually flagged by operators
09601,26,-0.0034,3,Manually flagged by operators
09601,25,-0.0051,3,Manually flagged by operators
09601,24,-0.004,3,Manually flagged by operators
09601,23,-0.0049,3,Manually flagged by operators
09601,22,-0.0044,3,Manually flagged by operators
09601,21,-0.0043,3,Manually flagged by operators
09601,20,-0.004,3,Manually flagged by operators
09601,19,-0.0034,3,Manually flagged by operators
09601,18,-0.0033,3,Manually flagged by operators
09601,17,-0.0028,3,Manually flagged by operators
09601,16,-0.0035,3,Manually flagged by operators
09601,15,-0.0024,3,Manually flagged by operators
09601,14,-0.0033,3,Manually flagged by operators
09601,13,-0.0026,3,Manually flagged by operators
09601,12,-0.0024,3,Manually flagged by operators
09601,11,-0.002,3,Manually flagged by operators
09601,10,-0.0029,3,Manually flagged by operators
09601,9,-0.0016,3,Manually flagged by operators
09601,8,-0.0024,3,Manually flagged by operators
09601,7,-0.0015,3,Manually flagged by operators
09601,6,-0.0019,3,Manually flagged by operators
09601,5,-0.0027,3,Manually flagged by operators
09601,4,-0.0019,3,Manually flagged by operators
09601,3,-0.0015,3,Manually flagged by operators
09601,2,-0.002,3,Manually flagged by operators
09601,1,-0.0011,3,Manually flagged by operators
09801,36,-0.0059,3,Manually flagged by operators
09801,35,-0.006,3,Manually flagged by operators
09801,34,0.0048,3,Manually flagged by operators
09801,33,-0.0111,3,Manually flagged by operators
09801,32,0.0029,3,Manually flagged by operators
09801,31,0.0093,3,Manually flagged by operators
09801,30,0.0028,3,Manually flagged by operators
09801,29,-0.0017,3,Manually flagged by operators
09801,28,-0.0009,3,Manually flagged by operators
09801,27,-0.0019,3,Manually flagged by operators
09801,26,-0.0027,3,Manually flagged by operators
09801,25,-0.0037,3,Manually flagged by operators
09801,24,-0.0042,3,Manually flagged by operators
09801,23,-0.0031,3,Manually flagged by operators
09801,22,-0.0032,3,Manually flagged by operators
09801,21,-0.0042,3,Manually flagged by operators
09801,20,-0.0026,3,Manually flagged by operators
09801,19,-0.0026,3,Manually flagged by operators
09801,18,-0.0026,3,Manually flagged by operators
09801,17,-0.002,3,Manually flagged by operators
09801,16,-0.0023,3,Manually flagged by operators
09801,15,-0.002,3,Manually flagged by operators
09801,14,-0.0028,3,Manually flagged by operators
09801,13,-0.0018,3,Manually flagged by operators
09801,12,-0.0019,3,Manually flagged by operators
09801,11,-0.0012,3,Manually flagged by operators
09801,10,-0.0025,3,Manually flagged by operators
09801,9,-0.0019,3,Manually flagged by operators
09801,8,-0.002,3,Manually flagged by operators
09801,7,-0.0015,3,Manually flagged by operators
09801,6,-0.0015,3,Manually flagged by operators
09801,5,-0.0042,3,Manually flagged by operators
09801,4,-0.0017,3,Manually flagged by operators
09801,3,-0.0026,3,Manually flagged by operators
09801,2,-0.0014,3,Manually flagged by operators
09801,1,-0.0011,3,Manually flagged by operators